entry_id,date,account,vendor,amount,preparer,is_manipulated
JE-003869,2025-01-01,판매비와관리비,거래처-033,146715,박전표,False
JE-001426,2025-01-01,미수금,거래처-033,481006,박전표,False
JE-003119,2025-01-01,매입,거래처-035,369853,박전표,False
JE-001223,2025-01-01,미수금,거래처-001,622699,이감사,False
JE-000013,2025-01-01,미수금,거래처-010,1521211,김회계,False
JE-002549,2025-01-01,매출원가,거래처-033,478425,최담당,False
JE-002021,2025-01-01,매입,거래처-025,172533,최담당,False
JE-001981,2025-01-01,매입,거래처-003,1311028,김회계,False
JE-000883,2025-01-02,미지급금,거래처-006,102793,김회계,False
JE-003381,2025-01-02,매출원가,거래처-025,2545633,김회계,False
JE-002742,2025-01-02,미수금,거래처-017,299567,김회계,False
JE-004042,2025-01-02,판매비와관리비,거래처-033,151303,최담당,False
JE-001483,2025-01-02,판매비와관리비,거래처-033,72681,박전표,False
JE-003217,2025-01-02,판매비와관리비,거래처-024,262445,김회계,False
JE-001809,2025-01-02,매출,거래처-006,2344412,김회계,False
JE-002938,2025-01-02,미지급금,거래처-025,308581,최담당,False
JE-001448,2025-01-02,미수금,거래처-036,260485,이감사,False
JE-001444,2025-01-02,미지급금,거래처-015,74995,김회계,False
JE-003448,2025-01-02,판매비와관리비,거래처-006,1307013,최담당,False
JE-001642,2025-01-02,매입,거래처-016,1046933,이감사,False
JE-000195,2025-01-03,판매비와관리비,거래처-013,455451,최담당,False
JE-000357,2025-01-03,매출,거래처-002,1129320,이감사,False
JE-003035,2025-01-03,매출원가,거래처-024,627578,김회계,False
JE-000446,2025-01-03,매입,거래처-012,2856685,박전표,False
JE-003578,2025-01-03,매출,거래처-007,1065685,박전표,False
JE-002813,2025-01-03,미수금,거래처-007,2111412,김회계,False
JE-001372,2025-01-03,매출,거래처-019,554421,이감사,False
JE-000303,2025-01-03,매출원가,거래처-014,1078942,김회계,False
JE-002951,2025-01-03,미수금,거래처-018,1737836,김회계,False
JE-001051,2025-01-03,미수금,거래처-033,128219,최담당,False
JE-003854,2025-01-03,판매비와관리비,거래처-031,547309,최담당,False
JE-003797,2025-01-03,미수금,거래처-023,102832,최담당,False
JE-002422,2025-01-03,매출,거래처-021,2477060,최담당,False
JE-003110,2025-01-04,판매비와관리비,거래처-038,2649179,박전표,False
JE-000151,2025-01-04,미지급금,거래처-022,1315860,박전표,False
JE-002982,2025-01-04,판매비와관리비,거래처-029,265790,이감사,False
JE-000821,2025-01-04,매출,거래처-035,846011,김회계,False
JE-003433,2025-01-04,매출,거래처-029,1303828,박전표,False
JE-001584,2025-01-04,미수금,거래처-038,491434,박전표,False
JE-002539,2025-01-04,매입,거래처-010,213727,김회계,False
JE-001101,2025-01-04,매입,거래처-002,119231,박전표,False
JE-002836,2025-01-04,매입,거래처-013,51235,최담당,False
JE-002105,2025-01-04,미지급금,거래처-001,7705623,박전표,False
JE-002470,2025-01-04,매입,거래처-025,3000000,김회계,True
JE-000886,2025-01-04,매출원가,거래처-014,572814,김회계,False
JE-002062,2025-01-04,미지급금,거래처-007,607881,최담당,False
JE-003961,2025-01-04,미수금,거래처-037,597153,최담당,False
JE-002944,2025-01-05,판매비와관리비,거래처-026,24670,최담당,False
JE-000763,2025-01-05,미지급금,거래처-018,604364,김회계,False
JE-001100,2025-01-05,매출,거래처-017,658680,이감사,False
JE-001846,2025-01-05,미수금,거래처-027,368205,최담당,False
JE-000075,2025-01-05,매입,거래처-031,602793,최담당,False
JE-003250,2025-01-05,매입,거래처-011,1523239,김회계,False
JE-003337,2025-01-05,매입,거래처-038,4877850,김회계,False
JE-003228,2025-01-05,미수금,거래처-027,548678,최담당,False
JE-002606,2025-01-05,판매비와관리비,거래처-009,379522,김회계,False
JE-002650,2025-01-05,미지급금,거래처-024,3026611,김회계,False
JE-002142,2025-01-05,매입,거래처-015,21106,김회계,False
JE-003666,2025-01-05,판매비와관리비,거래처-009,22446296,최담당,False
JE-001899,2025-01-06,미지급금,거래처-038,761113,최담당,False
JE-003231,2025-01-06,판매비와관리비,거래처-011,7780564,김회계,False
JE-004122,2025-01-06,미수금,거래처-037,201463,이감사,False
JE-003612,2025-01-06,매출원가,거래처-022,5904346,박전표,False
JE-000940,2025-01-06,매출,거래처-006,5235643,김회계,False
JE-004040,2025-01-06,미지급금,거래처-027,1205317,김회계,False
JE-003474,2025-01-06,미지급금,거래처-009,4521730,박전표,False
JE-003510,2025-01-06,판매비와관리비,거래처-025,694306,박전표,False
JE-003816,2025-01-06,판매비와관리비,거래처-039,1414190,최담당,False
JE-003697,2025-01-06,미수금,거래처-025,4098807,박전표,False
JE-000735,2025-01-06,매출원가,거래처-002,1394396,김회계,False
JE-000090,2025-01-06,판매비와관리비,거래처-033,81764,이감사,False
JE-002794,2025-01-06,매출원가,거래처-029,104292,김회계,False
JE-002216,2025-01-07,매입,거래처-027,500151,박전표,False
JE-002012,2025-01-07,매출,거래처-010,537086,최담당,False
JE-001768,2025-01-07,매입,거래처-039,47618,박전표,False
JE-003642,2025-01-07,매출원가,거래처-017,3540747,박전표,False
JE-000668,2025-01-07,판매비와관리비,거래처-036,1688265,김회계,False
